description,name,room_type,host,price,income,rank,geometry
,4612991,Private room,7866557,43,129,611,"<Point><coordinates>-5.963407,37.375648,0.0</coordinates></Point>"
,5881602,Entire home/apt,20692777,64,128,612,"<Point><coordinates>-6.010544,37.379444,0.0</coordinates></Point>"
,6576643,Shared room,32535604,16,128,613,"<Point><coordinates>-5.986608,37.387465,0.0</coordinates></Point>"
,940596,Private room,5083732,64,128,614,"<Point><coordinates>-5.977265,37.373883,0.0</coordinates></Point>"
,2467820,Entire home/apt,7889869,64,128,615,"<Point><coordinates>-6.007182,37.387343,0.0</coordinates></Point>"
,6225696,Private room,32285760,40,120,616,"<Point><coordinates>-5.969703,37.404392,0.0</coordinates></Point>"
,5393583,Private room,27957812,40,120,617,"<Point><coordinates>-5.979578,37.344365,0.0</coordinates></Point>"
,6720286,Private room,35189348,29,116,618,"<Point><coordinates>-5.972115,37.381176,0.0</coordinates></Point>"
,5603092,Entire home/apt,20307394,115,115,619,"<Point><coordinates>-5.981462,37.400271,0.0</coordinates></Point>"
,3626072,Entire home/apt,15818452,57,114,620,"<Point><coordinates>-5.983941,37.373715,0.0</coordinates></Point>"
,4779646,Entire home/apt,24647099,57,114,621,"<Point><coordinates>-5.982838,37.375116,0.0</coordinates></Point>"
,5213071,Entire home/apt,26636800,57,114,622,"<Point><coordinates>-6.008184,37.378335,0.0</coordinates></Point>"
,5427090,Entire home/apt,6182185,57,114,623,"<Point><coordinates>-6.000107,37.373911,0.0</coordinates></Point>"
,3809415,Entire home/apt,7601501,56,112,624,"<Point><coordinates>-6.009769,37.381666,0.0</coordinates></Point>"
,5455503,Entire home/apt,27096549,36,108,625,"<Point><coordinates>-5.989511,37.404964,0.0</coordinates></Point>"
,799693,Private room,4210139,54,108,626,"<Point><coordinates>-5.969622,37.427721,0.0</coordinates></Point>"
,5922268,Entire home/apt,26357257,107,107,627,"<Point><coordinates>-5.986841,37.356182,0.0</coordinates></Point>"
,3657843,Private room,6404219,21,105,628,"<Point><coordinates>-5.997399,37.376441,0.0</coordinates></Point>"
,543394,Entire home/apt,1379382,105,105,629,"<Point><coordinates>-6.010066,37.388862,0.0</coordinates></Point>"
,4249344,Private room,4800686,100,100,630,"<Point><coordinates>-5.982665,37.375161,0.0</coordinates></Point>"
,6535963,Entire home/apt,4151580,50,100,631,"<Point><coordinates>-5.985635,37.389804,0.0</coordinates></Point>"
,5362717,Private room,27799672,50,100,632,"<Point><coordinates>-5.974537,37.407218,0.0</coordinates></Point>"
,1942334,Shared room,10047076,50,100,633,"<Point><coordinates>-5.992825,37.403415,0.0</coordinates></Point>"
,4898673,Entire home/apt,25213359,100,100,634,"<Point><coordinates>-6.003937,37.38636,0.0</coordinates></Point>"
