id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
9250048,Beautiful High Park Home,23531532,Saretta,,High Park North,43.655,-79.46105,Entire home/apt,295,4,0,,,1,0
9250900,"family hotel beside York University, close Fin",44619526,Sigang,,York University Heights,43.76921,-79.50002,Private room,25,7,8,2019-08-25,0.29,6,288
9254288,A Traveller's Delight In Heart of Downtown,20408425,Nick,,Kensington-Chinatown,43.65531,-79.4038,Entire home/apt,170,4,99,2019-07-08,2.31,5,88
9260908,Furnished Clean Single room,9956811,Erica,,Mount Dennis,43.69005,-79.49772,Private room,106,1,13,2019-03-14,0.30,11,256
9261177,Fully furnished and clean room,9956811,Erica,,Mount Dennis,43.69177,-79.49701,Private room,79,1,4,2019-04-14,0.15,11,256
9272530,Yonge & Bloor Large 1Bdr Condo,48159185,Vladi,,Church-Yonge Corridor,43.66786,-79.38408,Entire home/apt,135,3,6,2016-03-11,0.13,1,0
9275807,Location Availiable Room,47982653,Alexander,,Annex,43.67075,-79.40609,Private room,56,2,9,2017-07-06,0.24,1,0
9278227,Deluxe One Bedroom Apartment,38357448,Mohammed,,Bay Street Corridor,43.65956,-79.38434,Entire home/apt,155,3,4,2017-12-28,0.11,18,351
9281219,Entertainment District Exec Suite - York/Lakeshore,37514178,TO Stays,,Waterfront Communities-The Island,43.64309,-79.38057,Entire home/apt,124,28,20,2019-08-11,0.45,13,358
9282702,Bright room in house apartment!,22211053,Y. Yvon,,Blake-Jones,43.67331,-79.34191,Private room,40,1,1,2015-11-15,0.02,2,0
9284160,Cozy Bedroom on the main floor.,48213151,Antonietta,,Lambton Baby Point,43.65258,-79.4982,Private room,46,3,0,,,2,256
9294851,"lge 1 b/r, 1.5 w/r, P/O Couch -",48257111,Kevin,,Moss Park,43.65259,-79.36837,Entire home/apt,82,2,7,2016-01-01,0.15,1,0
9294881,"Big cozy room, next to the Subway!",25178606,Ece,,High Park North,43.65676,-79.45276,Private room,40,1,17,2016-05-16,0.36,1,0
9295152,Room near subway .,48258166,Feela,,Briar Hill-Belgravia,43.69899,-79.44503,Private room,200,2,6,2016-08-31,0.13,2,365
9295372,Newly cozy beauty house,48060985,George,,Agincourt South-Malvern West,43.79633,-79.27511,Entire home/apt,399,3,74,2019-09-08,1.60,2,346
9296362,Luxury 1 bedrm with parking Toronto,2180237,Alexander,,Waterfront Communities-The Island,43.64631,-79.37752,Entire home/apt,200,30,13,2018-04-16,0.28,4,348
9297579,Stunning New Condo near CN Tower,12066449,C.J.,,Waterfront Communities-The Island,43.6431,-79.3807,Entire home/apt,139,2,66,2019-08-19,1.41,4,21
9297752,Queen West Sunny South Facing Loft,48269565,Angela,,Roncesvalles,43.64197,-79.4307,Entire home/apt,52,3,1,2015-12-31,0.02,1,0
9298079,1BR. artsy w/lake view + gym/sauna,27215182,Seemi,,Dovercourt-Wallace Emerson-Junction,43.66455,-79.44869,Private room,75,2,1,2015-11-25,0.02,1,0
9301689,Affordable Well located Room,14475101,Glaucia,,Corso Italia-Davenport,43.67875,-79.44627,Private room,23,1,6,2019-07-01,0.14,20,349
9301914,北约克独立卫生间高级主人套房Cozy Master Bedroom,33466406,Funsway,,Hillcrest Village,43.79143,-79.36653,Private room,85,30,11,2018-09-15,0.28,2,299
9302062,Sunny Downtown 2B2B with Parking,8347285,Karen,,Church-Yonge Corridor,43.65398,-79.37871,Entire home/apt,225,3,2,2016-06-25,0.05,1,0
9309550,"Contemporary, Private Beach Getaway",16791144,Nancy,,The Beaches,43.67249,-79.29594,Entire home/apt,95,2,119,2019-08-17,2.58,1,160
9309637,1000+SQFT in High Floor +Free PRK,35256388,Mohamed,,Waterfront Communities-The Island,43.64393,-79.37973,Entire home/apt,244,5,166,2019-09-05,3.64,4,192
9310412,One bedroom Condo in North York,5537258,Anthony,,Willowdale East,43.76661,-79.38815,Private room,106,1,0,,,1,0
9318001,Master Bedroom w/Bath 2nd floor Toronto North,48362910,Bob,,Willowdale East,43.77471,-79.4008,Private room,65,2,25,2019-01-21,0.92,12,83
9325311,CORE DownTown PRIME location @ SCOTIABANK ARENA,48076932,Sam,,Waterfront Communities-The Island,43.64408,-79.37987,Entire home/apt,110,2,97,2019-09-07,8.22,3,19
9326456,"Amazing View, 2 Bed 2 bath Condo",985182,Clémence,,Dufferin Grove,43.6566,-79.44581,Entire home/apt,56,4,7,2016-07-25,0.17,1,15
9328245,1 room in a 2 storey apt.,48414425,Carl,,The Beaches,43.67145,-79.29805,Private room,45,1,0,,,1,0
9330322,East Toronto Gem in Historic House,11246045,Melissa,,South Riverdale,43.66528,-79.32574,Entire home/apt,72,1,8,2016-11-26,0.17,1,0
9331373,Bright room in a clean House,22403169,Masoud,,Westminster-Branson,43.7879,-79.46559,Private room,37,2,12,2019-08-14,0.42,3,239
9332582,Welcome to Happy House,48436274,Michael,,South Riverdale,43.6673,-79.33806,Private room,50,1,0,,,1,0
9341429,Modern Downtown Condo,48482907,Rizwan,,Waterfront Communities-The Island,43.64313,-79.40107,Entire home/apt,79,180,3,2016-01-08,0.07,1,350
9346672,Condo next to union station,48507568,Garry,,Waterfront Communities-The Island,43.64279,-79.38177,Entire home/apt,74,1,14,2018-10-21,0.32,1,0
9362849,Comfie sofa 420/smoke/LGBT/pet/veggie friendly,47337296,Randy,,Stonegate-Queensway,43.62388,-79.51274,Shared room,32,2,60,2019-09-02,1.28,4,347
9364322,Modern Loft in Historic Building,22683187,Iain,,Niagara,43.64279,-79.41151,Entire home/apt,124,6,23,2019-07-13,0.58,1,1
9370341,Charming  Beaches Bungalow - 2BD/2BTH + Sunroom,44450561,Gallia,,The Beaches,43.67524,-79.29886,Entire home/apt,166,5,5,2019-06-09,0.19,3,73
9370518,Sun-Drenched Loft,9145357,Caroline,,Dufferin Grove,43.65664,-79.44285,Entire home/apt,90,5,4,2019-08-05,0.12,1,0
9372079,Luxury townhouse in a fun neighbourhood,6196433,Mich & Emily,,Dovercourt-Wallace Emerson-Junction,43.65764,-79.44616,Entire home/apt,367,2,5,2016-12-06,0.14,2,0
9373840,Beautifully Designed In The Core,48636211,Jonathan,,Waterfront Communities-The Island,43.64589,-79.37598,Entire home/apt,278,2,0,,,1,0
9382997,Spacious and Cozy  Apartment in Toronto,11529418,Karen,,Playter Estates-Danforth,43.68076,-79.34756,Entire home/apt,70,2,166,2019-09-10,3.57,1,103
9383507,"3 Bed Downtown at Union, CN Tower, Financial Area",187320,Downtown Suite Living,,Waterfront Communities-The Island,43.64259,-79.37946,Entire home/apt,150,116,4,2019-06-10,0.09,11,121
9385368,Bright convenient 1bdrm loft,20780553,Layla,,Waterfront Communities-The Island,43.64556,-79.39869,Entire home/apt,150,60,14,2018-09-17,0.34,2,286
9389617,Bright and Spacious house,21850979,Akbar,,Palmerston-Little Italy,43.65796,-79.41149,Entire home/apt,225,1,0,,,1,0
9392169,"Sunny, beautiful and central.",9779648,Liza,,Bay Street Corridor,43.66557,-79.38635,Entire home/apt,85,1,2,2016-01-18,0.04,1,0
9397953,Bright room close to everything,48742254,Robert,,Cabbagetown-South St.James Town,43.66688,-79.37283,Private room,45,1,116,2019-09-04,7.84,2,60
9406020,"private room shared bath,kitchen",8569918,Sharon,,Yonge-Eglinton,43.70574,-79.40507,Private room,83,2,7,2019-08-24,0.15,20,135
9409827,Close to everything in Toronto's West end,30665833,Michelle,,Markland Wood,43.64204,-79.57943,Private room,49,1,0,,,1,0
9412339,Deluxe One Bedroom Apartment,8569918,Sharon,,Yonge-Eglinton,43.70428,-79.4045,Private room,119,80,1,2016-06-15,0.03,20,365
9413435,"LG private, LGBT/420/veg/smoke/pet friendly",47337296,Randy,,Stonegate-Queensway,43.62419,-79.515,Private room,49,2,74,2019-08-21,1.60,4,362
9414650,House in Kensington Market,48814816,Alex,,Kensington-Chinatown,43.65199,-79.40481,Private room,42,1,0,,,1,0
9414935,"Cozy, Luxury Condo in King West",15541985,Alyssa,,Waterfront Communities-The Island,43.64272,-79.40002,Entire home/apt,121,3,0,,,1,0
9417165,clean 1bedroom apt heart of toronto,48828158,Michael,,Kensington-Chinatown,43.65462,-79.39058,Entire home/apt,90,1,0,,,1,0
9424894,BLUE COZY ROOM WITH WINDOW,48860375,Betty,,East End-Danforth,43.69073,-79.29522,Private room,28,5,19,2019-09-02,0.71,3,331
9430750,Chic Historical Loft in Downtown Toronto,10082223,Rachel,,Church-Yonge Corridor,43.66806,-79.3847,Entire home/apt,144,3,18,2019-08-25,0.40,1,156
9434177,Bright One Bedroom steps from Beach,44612985,Shannon,,The Beaches,43.66967,-79.29833,Entire home/apt,44,14,1,2016-04-05,0.02,1,0
9435245,BEAUTIFUL CONDO LAKE VIEW TORONTO!!,48901865,Zach,,Mimico (includes Humber Bay Shores),43.62551,-79.48881,Entire home/apt,85,4,0,,,1,0
9444999,Waterfront 1 + Den Balcony and View,48947566,Elana,,Waterfront Communities-The Island,43.63879,-79.38174,Entire home/apt,99,7,0,,,1,0
9447810,Townhouse/loft in downtown core with original art!,18041348,Shelby And Jess,,Kensington-Chinatown,43.65332,-79.39049,Entire home/apt,75,90,278,2019-08-07,6.04,1,275
9453269,"Parkside Loft, Downtown Westside.",39722870,Rod,,Trinity-Bellwoods,43.6459,-79.41353,Entire home/apt,50,5,0,,,1,0
9461635,Min to highway beautifully decorate(3房2廁安全亮光民宿),16853533,Tammy,,Parkwoods-Donalda,43.76045,-79.33246,Entire home/apt,200,2,28,2019-08-16,0.61,6,168
9461816,1 Bedroom Liberty Village Living,49031112,Cleyon,,Niagara,43.63842,-79.41518,Entire home/apt,130,3,13,2019-07-11,1.33,1,0
