id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
28887657,Apartment With Bosphorus View InThe Center of Asia,40456791,Emrah,,Kadikoy,40.98853,29.02563,Entire home/apt,165,2,2,2019-01-01,0.18,3,358
28889292,Bahçeli keyifli bir ev,217776355,Nur,,Sisli,41.06344,28.98562,Entire home/apt,318,1,0,,,1,365
28890081,"Student house, rent room in kadıköy.",217783725,Samet Gökberk,,Kadikoy,40.99008,29.02861,Private room,57,30,0,,,1,178
28890930,Mimar evi :),4104946,Mert,,Besiktas,41.05603,29.00769,Entire home/apt,499,2,0,,,1,83
28891209,Near Blue mosque flat for 5 people,8185684,Yenny,,Fatih,41.00385,28.97584,Entire home/apt,465,2,2,2019-01-01,0.18,4,179
28891629,House 60m cheap comfortableperfect locationterrace,217794264,A.Recep,,Beyoglu,41.03484,28.97636,Entire home/apt,153,1,9,2019-09-11,0.81,7,354
28892439,mozaik apart hotel,217802174,Emin,,Fatih,41.00741,28.97494,Private room,113,1,2,2018-10-24,0.16,1,364
28892889,live İstanbul,150406545,Betül,,Uskudar,41.04347,29.07579,Private room,170,3,0,,,1,180
28900309,DAİLY RENT 1+1 İN THE CENTER OF KADIKÖY,25086611,Dilek Wish,,Kadikoy,40.99319,29.02819,Entire home/apt,380,1,5,2019-09-01,0.47,3,361
28902659,"One Bedroom And Living Room,Apartment 1",154955802,Salih,,Sisli,41.04326,28.98646,Entire home/apt,182,2,2,2018-12-27,0.17,10,365
28905891,Centrally located flat,217707322,Belgin,,Sisli,41.06416,29.01061,Entire home/apt,499,2,1,2018-10-28,0.09,1,212
28907773,Room at Central Location in Kadıköy İstanbul,171051038,Ozan,,Kadikoy,41.00368,29.02948,Private room,62,1,0,,,1,179
28909493,KENDİ EVİNİZ GİBİİİİ,217910795,Emirhan,,Kagithane,41.08976,28.97242,Private room,79,1,0,,,1,365
28910572,Room for cihangir....,22748013,Aytuğ,,Beyoglu,41.03415,28.98544,Private room,85,3,5,2019-03-10,0.44,3,365
28913114,A room (double-size bed) +a couch; centre Atasehir,217942851,Bahadır,,Atasehir,40.98932,29.11162,Private room,91,10,1,2019-06-17,0.28,1,179
28914082,Aile Evi,217950952,Eren,,Bagcilar,41.05051,28.8476,Shared room,62,1,0,,,1,88
28914877,Anadolu yakasında her yere yakın ulaşım çok kolay,167829584,Anıl,,Atasehir,40.99211,29.15666,Private room,96,3,0,,,1,364
28922881,Newly renovated historical apartment,168950128,Keiran,,Beyoglu,41.02724,28.97862,Entire home/apt,255,3,32,2019-09-18,3.24,6,42
28925158,Teşvikiye SafeHouse,49367549,Vardar Ali,,Sisli,41.04836,28.99353,Entire home/apt,369,2,30,2019-09-27,3.04,1,137
28928671,www•Baharoglu Lifehouse•com,181592821,Ayfer,,Sariyer,41.2078,29.03388,Private room,170,1,1,2019-03-15,0.15,1,365
28929928,KADIKÖY YELDEĞİRMENİ,169244120,Yunus Emre,,Kadikoy,40.99247,29.03217,Private room,227,1,1,2019-04-24,0.19,1,356
28933304,NURCAN'S COZY ROOM 1,126075910,Nurcan,,Kadikoy,40.97274,29.09607,Private room,57,3,1,2018-10-13,0.08,2,179
28945403,cihangir/taksim,218187862,Mustafa,,Beyoglu,41.03398,28.98612,Private room,199,1,0,,,1,89
28945566,Welcome to Your home,218187136,Abit,,Esenyurt,41.01603,28.66833,Private room,102,1,0,,,1,0
28946289,Comfortable one bedroom apartment,213921066,Galata,,Beyoglu,41.02834,28.97385,Entire home/apt,369,1,16,2019-08-19,1.45,12,362
28946819,"Private Room in Moda, Kadikoy",218196188,Soner,,Kadikoy,40.98622,29.02862,Private room,91,2,1,2018-10-25,0.09,1,0
28950416,Private bedroom in the center of Ortaköy,34493754,Nazrin,,Besiktas,41.05173,29.02221,Private room,170,3,0,,,1,365
28950604,Ulusta metroya yakin güvenlikli site icinde oda,132048958,Ekin Ege,,Besiktas,41.07322,29.03101,Private room,62,20,2,2019-04-03,0.28,1,178
28953511,İstanbul kadıköy moda,218242052,Pelin,,Kadikoy,40.98618,29.03222,Entire home/apt,153,6,2,2019-09-24,0.18,1,160
28956429,1+1 Süperior Daire,115778174,Arıkan,,Esenyurt,41.02505,28.6278,Entire home/apt,301,1,3,2019-08-24,0.34,3,358
28956435,AĞVADAKİ CENNET,218263044,Eren,,Sile,41.1247,29.85891,Entire home/apt,749,1,4,2019-09-01,0.36,3,362
28959998,1+1 flat,19410798,Civan,,Beyoglu,41.03294,28.96586,Entire home/apt,147,1,6,2019-08-26,0.65,1,32
28964179,"2 min to subway, 5 min to metrobus line and tram",218315985,Burak,,Gungoren,41.01728,28.89916,Private room,136,1,0,,,1,89
28968997,Element Residence CLASIC CONDO + 2 CHILD,178160433,Element,,Beyoglu,41.03675,28.97838,Hotel room,505,1,0,,,15,86
28969251,Comfortable room with easy access in city center.,115112027,Cihan,,Sisli,41.04879,28.98415,Private room,91,1,0,,,1,0
28969388,cozy and usefull with perfect bosphoros view,218359950,Mahtab,,Beyoglu,41.03161,28.98889,Entire home/apt,250,2,18,2019-09-16,1.50,3,357
28970269,Element Residence CLASIC CONDO + 1 CHILD,178160433,Element,,Beyoglu,41.0361,28.97664,Hotel room,460,1,0,,,15,84
28971039,10 min walking to metro station.,218369238,Secil,,Sisli,41.05474,28.97723,Entire home/apt,601,3,11,2019-09-22,0.95,1,362
28972972,"Cozy, spacious flat in the heart of Kadıköy",186037285,Canturk,,Kadikoy,40.9894,29.02594,Entire home/apt,238,2,17,2019-09-22,1.46,1,357
28973358,Cozy private room in new building in Kozyatağı,100619059,Zeliha,,Kadikoy,40.97372,29.09846,Private room,68,3,12,2019-09-23,1.25,1,7
28973926,Mall of İstanbul,138337705,Esra,,Basaksehir,41.06206,28.80622,Entire home/apt,709,1,0,,,2,179
28974068,Mall of İstanbul,138337705,Esra,,Basaksehir,41.08005,28.79237,Entire home/apt,709,1,0,,,2,179
28976001,Cozy flat in Kagithane/Levent  with WIFI apt 87A,79831209,Tulai,,Kagithane,41.08641,28.99702,Entire home/apt,170,3,7,2019-08-20,0.61,2,49
28976749,Cihangir roma merdivenleri,210766425,Damla,,Beyoglu,41.02843,28.98135,Entire home/apt,301,2,1,2018-10-12,0.08,1,365
28977164,Vb suites istanbul,213157136,Ghassan,,Kagithane,41.08374,28.98361,Entire home/apt,511,2,2,2018-10-28,0.17,60,365
28980784,Family hot apartmen,214265084,Niyazi Ege,,Sisli,41.04248,28.98341,Private room,340,1,4,2018-11-24,0.37,1,179
28983285,"Modern döşenme, Merkezi konum.",149042299,Cevat,,Bahcelievler,41.00017,28.85731,Private room,96,2,0,,,4,87
28984603,Teraslı 4+1 evde çift kişilik oda,19239032,Hasan,,Umraniye,41.01647,29.09898,Private room,102,1,0,,,1,173
28984714,Mavi ile Yeşilin Buluştuğu Cennet,21325437,Ali,,Sile,41.12849,29.84514,Private room,147,1,0,,,1,238
